record,Bullied_on_school_property_in_past_12_months,Bullied_not_on_school_property_in_past_12_months,Cyber_bullied_in_past_12_months,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
51046,Yes,No,No,17 years old,Male,0 times,1 time,Rarely,1,6 to 9 days,Most of the time,Rarely,No,Yes,No,No,No
51047,Yes,No,No,13 years old,Male,0 times,0 times,Rarely,0,1 or 2 days,Most of the time,Sometimes,No,Yes,No,Yes,No
51048,No,No,No,14 years old,Male,0 times,2 or 3 times,Never,3 or more, ,Never, ,No, , , , 
51049,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
51050,Yes,No,No,13 years old,Female,2 or 3 times,2 or 3 times,Most of the time,3 or more,0 days,Sometimes,Always,Yes,No, , , 
51051,No,Yes,No,15 years old,Female,2 or 3 times,0 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
51052,No, ,No,16 years old,Male,0 times,2 or 3 times,Rarely,0,0 days,Rarely, ,No,No, , , 
51053,Yes,No,No,15 years old,Male,0 times,0 times,Most of the time,3 or more,0 days,Always,Never,Yes,No, , , 
51054,No,No,Yes,13 years old,Female,0 times,1 time,Rarely,3 or more,6 to 9 days,Always,Sometimes,No,Yes, , , 
51055,No,Yes,No,13 years old,Female,2 or 3 times,0 times,Most of the time,2,0 days,Always,Most of the time,Yes,No, , , 
51056,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Always,No,Yes, , , 
51057,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No, , , 
51058,Yes,No,No,14 years old,Male,1 time,0 times,Most of the time,0,1 or 2 days,Rarely,Always,Yes,Yes, , , 
51059,No,Yes,No,13 years old,Male,0 times,0 times,Rarely,1,0 days,Most of the time,Sometimes,No,No, , , 
51060,Yes,No,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Always,Always,Yes,No,No,Yes,No
51061,No,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No, , , 
51062,Yes,Yes,No,13 years old,Male,0 times,1 time,Most of the time,3 or more,1 or 2 days,Sometimes,Sometimes,Yes,Yes, , , 
51063,Yes,No,Yes,13 years old,Male,2 or 3 times,1 time,Rarely,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes, , , 
